,Store Number,Year,Month,Full Packs Sold,Single Bottles Sold,Sale (Dollars),SMALL,LARGE,CHEAP,MIDPRICE,EXPENSIVE,BRANDY,GIN,OTHER,RUM,SCHNAPPS,SPIRITS,TEQUILA,VODKA,WHISKY
8266,5386,2017,7,10,78,1732.62,15.0,4.0,8.0,10.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,6.0,6.0
8267,5386,2017,8,8,12,1072.92,6.0,2.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0
8268,5386,2017,9,5,66,1036.68,11.0,1.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,3.0
8269,5386,2017,10,5,36,851.64,8.0,2.0,3.0,7.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0
8270,5386,2017,11,6,48,977.1,11.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,4.0
8271,5386,2017,12,9,18,1142.22,7.0,3.0,5.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,4.0
8272,5386,2018,1,11,30,1535.78,13.0,3.0,5.0,10.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,6.0
8273,5386,2018,2,18,30,2368.98,16.0,4.0,9.0,8.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,9.0,7.0
8274,5386,2018,3,9,30,1047.48,7.0,3.0,3.0,6.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0
8275,5386,2018,4,22,42,2751.54,17.0,5.0,11.0,10.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,7.0,9.0
8276,5386,2018,5,9,30,1176.24,10.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0
8277,5386,2018,6,25,18,2563.38,18.0,5.0,11.0,10.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,9.0,9.0
8278,5386,2018,7,16,6,1677.12,10.0,4.0,8.0,5.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,4.0
8279,5386,2018,8,25,12,2714.34,14.0,5.0,9.0,8.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,8.0,6.0
8280,5386,2018,9,8,54,1219.8600000000001,9.0,1.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0
8281,5386,2018,10,24,30,3261.84,20.0,6.0,9.0,15.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,8.0,10.0
8282,5386,2018,11,26,30,2766.48,15.0,4.0,10.0,7.0,2.0,1.0,0.0,4.0,3.0,1.0,0.0,1.0,5.0,4.0
8283,5386,2018,12,14,42,1367.58,10.0,3.0,8.0,4.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,5.0,3.0
